SubmissionID,ExerciseID,StudentID,StartDate,LastUpdateDate,NumberAutograderRuns,TimeOnTask,CodeHistoryLink,StudentCode
3297245,1986,56344,2020-10-07 13:23:22.245427+00:00,2020-10-07 13:25:34.357324+00:00,2.0,126.0,https://backend.academy.cs.cmu.edu/a/user/56344/files/4058807/1,
3533075,2000,56344,2020-10-22 13:40:10.515851+00:00,2020-10-22 13:43:56.791898+00:00,1.0,17.0,https://backend.academy.cs.cmu.edu/a/user/56344/files/4299844/1,
3740166,1986,56345,2020-11-05 14:23:28.213319+00:00,2020-11-05 14:37:07.199439+00:00,1.0,113.0,https://backend.academy.cs.cmu.edu/a/user/56345/files/4511486/1,
5245713,2063,56345,2021-03-08 14:33:16.921261+00:00,2021-03-08 14:34:36.486652+00:00,1.0,81.0,https://backend.academy.cs.cmu.edu/a/user/56345/files/6158802/1,
3762588,1917,56351,2020-11-06 15:24:47.580727+00:00,2020-11-06 15:27:47.347660+00:00,1.0,179.0,https://backend.academy.cs.cmu.edu/a/user/56351/files/4534465/1,
3920899,1933,56360,2020-11-17 14:37:45.748986+00:00,2020-11-17 14:38:45.763288+00:00,1.0,63.0,https://backend.academy.cs.cmu.edu/a/user/56360/files/4698983/1,
3558461,1977,57163,2020-10-23 15:06:04.200818+00:00,2020-10-23 15:11:32.650576+00:00,2.0,1.0,https://backend.academy.cs.cmu.edu/a/user/57163/files/4325862/1,
3622196,1975,57273,2020-10-28 12:04:03.524808+00:00,2020-10-28 12:15:54.667972+00:00,9.0,4.0,https://backend.academy.cs.cmu.edu/a/user/57273/files/4390970/1,
3328225,2001,57571,2020-10-08 17:03:11.882837+00:00,2020-10-08 17:13:39.373267+00:00,1.0,21.0,https://backend.academy.cs.cmu.edu/a/user/57571/files/4090349/1,
3621408,2019,57605,2020-10-28 07:25:19.867365+00:00,2020-10-28 07:27:39.105871+00:00,1.0,6.0,https://backend.academy.cs.cmu.edu/a/user/57605/files/4390179/1,
3572736,1991,57792,2020-10-25 20:30:41.897922+00:00,2020-11-03 14:23:50.956264+00:00,3.0,25.0,https://backend.academy.cs.cmu.edu/a/user/57792/files/4340421/1,
3199658,2073,58219,2020-10-01 13:09:12.684748+00:00,2020-10-01 13:17:00.485991+00:00,1.0,16.0,https://backend.academy.cs.cmu.edu/a/user/58219/files/3959519/1,
3695567,2182,58222,2020-11-02 17:07:14.153645+00:00,2020-11-02 17:15:57.531113+00:00,1.0,365.0,https://backend.academy.cs.cmu.edu/a/user/58222/files/4465438/1,
3737285,2182,58229,2020-11-05 12:58:43.485449+00:00,2020-11-05 13:00:58.205540+00:00,1.0,146.0,https://backend.academy.cs.cmu.edu/a/user/58229/files/4508520/1,
3610862,2076,58601,2020-10-27 17:02:36.720173+00:00,2020-10-27 17:07:51.880534+00:00,1.0,45.0,https://backend.academy.cs.cmu.edu/a/user/58601/files/4379494/1,
3428931,2015,58608,2020-10-15 16:33:56.419206+00:00,2020-10-15 16:50:11.126582+00:00,1.0,21.0,https://backend.academy.cs.cmu.edu/a/user/58608/files/4193402/1,
3429714,2021,58608,2020-10-15 16:56:13.451834+00:00,2020-10-23 15:51:52.155090+00:00,1.0,12.0,https://backend.academy.cs.cmu.edu/a/user/58608/files/4194222/1,
3560173,2022,58608,2020-10-23 15:51:55.455671+00:00,2020-10-27 16:22:41.993949+00:00,7.0,19.0,https://backend.academy.cs.cmu.edu/a/user/58608/files/4327691/1,
3630478,1971,58728,2020-10-28 16:34:31.598377+00:00,2020-10-28 16:36:57.938586+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/58728/files/4399451/1,
3630809,1969,58728,2020-10-28 16:45:51.616126+00:00,2020-10-29 16:48:08.431560+00:00,1.0,101.0,https://backend.academy.cs.cmu.edu/a/user/58728/files/4399790/1,
3767176,1986,58728,2020-11-06 17:53:42.360126+00:00,2020-11-06 17:55:16.070473+00:00,2.0,160.0,https://backend.academy.cs.cmu.edu/a/user/58728/files/4539215/1,
3877949,1989,58728,2020-11-13 17:42:14.928602+00:00,2020-11-13 17:47:42.852954+00:00,1.0,188.0,https://backend.academy.cs.cmu.edu/a/user/58728/files/4653436/1,
3455719,1978,59080,2020-10-16 22:04:15.892036+00:00,2020-10-20 22:07:52.657461+00:00,1.0,4.0,https://backend.academy.cs.cmu.edu/a/user/59080/files/4221032/1,
4058216,1976,59524,2020-11-30 03:00:27.658011+00:00,2020-11-30 03:02:47.750089+00:00,1.0,142.0,https://backend.academy.cs.cmu.edu/a/user/59524/files/4840863/1,
4258020,1976,59535,2020-12-12 08:02:47.915333+00:00,2020-12-12 08:06:41.594217+00:00,1.0,88.0,https://backend.academy.cs.cmu.edu/a/user/59535/files/5048150/1,
3361374,2002,59562,2020-10-12 03:33:04.172729+00:00,2020-10-12 03:52:30.526798+00:00,1.0,24.0,https://backend.academy.cs.cmu.edu/a/user/59562/files/4124255/1,
2727462,1925,59760,2020-09-02 22:29:43.660394+00:00,2020-09-03 17:47:43.311881+00:00,2.0,28.0,https://backend.academy.cs.cmu.edu/a/user/59760/files/3482033/1,
2843234,1946,60417,2020-09-11 13:14:39.984210+00:00,2020-09-15 19:36:01.043399+00:00,2.0,3.0,https://backend.academy.cs.cmu.edu/a/user/60417/files/3598995/1,
2775503,1908,60436,2020-09-08 13:54:24.109804+00:00,2020-09-08 13:58:20.106299+00:00,1.0,14.0,https://backend.academy.cs.cmu.edu/a/user/60436/files/3530505/1,
3030512,1929,60436,2020-09-22 04:30:47.331200+00:00,2020-09-22 04:40:36.317784+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/60436/files/3788292/1,
3111636,1934,60436,2020-09-25 15:30:21.656148+00:00,2020-09-25 15:32:28.679634+00:00,1.0,14.0,https://backend.academy.cs.cmu.edu/a/user/60436/files/3870321/1,
5826444,2182,60591,2021-04-26 18:53:29.996995+00:00,2021-04-26 18:55:11.521693+00:00,1.0,104.0,https://backend.academy.cs.cmu.edu/a/user/60591/files/6767079/1,
2723090,1945,60758,2020-09-02 17:11:08.101697+00:00,2020-09-02 17:25:38.036550+00:00,1.0,0.0,https://backend.academy.cs.cmu.edu/a/user/60758/files/3477641/1,
3064717,1979,60758,2020-09-23 16:18:51.179390+00:00,2020-09-23 16:25:08.734125+00:00,1.0,4.0,https://backend.academy.cs.cmu.edu/a/user/60758/files/3822852/1,
2735818,1923,60777,2020-09-03 16:14:40.612556+00:00,2020-09-04 19:08:14.036138+00:00,17.0,13.0,https://backend.academy.cs.cmu.edu/a/user/60777/files/3490474/1,
3428453,2039,60777,2020-10-15 16:21:56.553533+00:00,2020-10-15 16:27:37.918356+00:00,3.0,30.0,https://backend.academy.cs.cmu.edu/a/user/60777/files/4192922/1,
4790058,2063,60777,2021-02-02 17:12:27.629988+00:00,2021-02-02 17:14:41.178581+00:00,1.0,70.0,https://backend.academy.cs.cmu.edu/a/user/60777/files/5611044/1,
4110352,2061,60828,2020-12-02 17:43:28.865881+00:00,2020-12-02 17:53:01.444663+00:00,1.0,311.0,https://backend.academy.cs.cmu.edu/a/user/60828/files/4894822/1,
3134570,1926,62400,2020-09-28 14:44:39.102646+00:00,2020-09-28 14:48:00.464370+00:00,1.0,28.0,https://backend.academy.cs.cmu.edu/a/user/62400/files/3893700/1,
3634730,1921,62499,2020-10-28 18:40:38.294334+00:00,2020-10-28 18:58:41.247349+00:00,1.0,19.0,https://backend.academy.cs.cmu.edu/a/user/62499/files/4403854/1,
3635171,1926,62499,2020-10-28 19:01:05.124847+00:00,2020-10-30 18:33:00.460294+00:00,1.0,52.0,https://backend.academy.cs.cmu.edu/a/user/62499/files/4404307/1,
3548190,1926,62507,2020-10-22 20:46:28.214976+00:00,2020-10-22 20:52:52.873977+00:00,3.0,0.0,https://backend.academy.cs.cmu.edu/a/user/62507/files/4315215/1,
4274959,2095,62942,2020-12-14 19:08:47.631175+00:00,2020-12-14 19:15:04.835469+00:00,1.0,292.0,https://backend.academy.cs.cmu.edu/a/user/62942/files/5065818/1,
4814154,2022,62989,2021-02-03 19:05:39.941799+00:00,2021-02-03 19:08:34.821980+00:00,1.0,177.0,https://backend.academy.cs.cmu.edu/a/user/62989/files/5636998/1,
3622978,1979,63106,2020-10-28 12:40:37.176544+00:00,2020-10-28 12:52:11.670726+00:00,4.0,4.0,https://backend.academy.cs.cmu.edu/a/user/63106/files/4391768/1,
3247974,1926,63475,2020-10-05 12:25:01.343356+00:00,2020-10-05 14:40:22.389359+00:00,1.0,35.0,https://backend.academy.cs.cmu.edu/a/user/63475/files/4008750/1,
3028349,1931,63606,2020-09-21 23:28:50.649064+00:00,2020-09-21 23:54:34.376943+00:00,1.0,6.0,https://backend.academy.cs.cmu.edu/a/user/63606/files/3786115/1,
4080035,1934,63655,2020-12-01 13:42:20.847658+00:00,2020-12-01 13:45:50.447219+00:00,2.0,212.0,https://backend.academy.cs.cmu.edu/a/user/63655/files/4863303/1,
